id,web_name,team,element_type,goals_scored,assists,goal_involvement,minutes,total_points,now_cost
394,Bruno G.,15,3,5,6,11,3273,135,62
395,Burn,15,2,1,1,2,3330,115,46
396,Dúbravka,15,1,0,0,0,900,44,40
398,Gordon,15,3,6,6,12,2428,124,74
399,Hall,15,2,0,7,7,2188,102,47
400,Hayden,15,3,0,0,0,0,0,44
401,Isak,15,4,23,6,29,2758,211,94
402,J.Murphy,15,3,8,13,21,2356,159,52
403,Joelinton,15,3,4,4,8,2394,99,60
404,Kelly,15,2,0,1,1,299,12,42
405,Krafth,15,2,0,0,0,334,17,43
406,Kuol,15,3,0,0,0,0,0,44
407,Lascelles,15,2,0,0,0,0,0,45
408,Lewis,15,2,0,0,0,0,0,40
409,Livramento,15,2,0,1,1,2835,105,46
410,Longstaff,15,3,0,1,1,783,34,44
411,Miley,15,3,1,0,1,304,21,50
412,Odysseas,15,1,0,0,0,0,0,42
413,Pope,15,1,0,0,0,2520,102,50
414,Ruddy,15,1,0,0,0,0,0,39
415,Schär,15,2,4,2,6,2935,118,55
416,Targett,15,2,0,0,0,20,2,39
417,Tonali,15,3,4,2,6,2625,106,55
418,Trippier,15,2,0,3,3,1299,72,56
419,White,15,3,0,0,0,0,0,45
420,Willock,15,3,0,2,2,1065,46,47
421,Wilson,15,4,0,0,0,355,19,69
574,Pivas,15,2,0,0,0,0,0,40
590,Osula,15,4,1,0,1,124,19,49
746,Howe,15,5,0,0,0,0,97,15
789,Neave,15,4,0,0,0,0,0,45
26,Alex Moreno,16,2,0,1,1,952,34,42
422,Aina,16,2,2,1,3,2996,128,53
423,Anderson,16,3,2,6,8,2726,107,50
424,Awoniyi,16,4,1,0,1,398,32,55
425,Boly,16,2,0,0,0,146,6,42
426,Bowler,16,3,0,0,0,0,0,45
427,C.Miguel,16,1,0,0,0,0,0,41
428,Da Silva Moreira,16,3,0,0,0,28,2,43
429,Danilo,16,3,0,0,0,270,11,47
430,Dennis,16,4,0,0,0,0,0,49
431,Dominguez,16,3,0,1,1,1954,54,48
432,Elanga,16,3,6,11,17,2496,153,55
433,Gibbs-White,16,3,7,11,18,2806,154,65
434,Hudson-Odoi,16,3,5,3,8,2190,103,51
435,Mighten,16,3,0,0,0,0,0,45
436,Murillo,16,2,2,0,2,3188,130,47
437,N.Williams,16,2,1,3,4,2588,109,45
438,O.Richards,16,2,0,0,0,0,0,45
439,O'Brien,16,3,0,0,0,0,0,50
440,Omobamidele,16,2,0,0,0,0,0,42
441,Panzo,16,2,0,0,0,0,0,40
442,Sangaré,16,3,0,1,1,584,20,43
443,Sels,16,1,0,1,1,3420,150,52
444,Toffolo,16,2,0,0,0,135,4,42
446,Ui-jo,16,4,0,0,0,0,0,45
447,Wood,16,4,20,3,23,2958,200,72
448,Worrall,16,2,0,0,0,0,0,45
449,Yates,16,3,2,2,4,1901,67,48
573,Milenković,16,2,5,2,7,3330,145,52
596,Jota Silva,16,3,3,2,5,835,52,59
620,Sosa,16,3,1,0,1,280,25,55
653,Morato,16,2,0,0,0,891,36,45
706,Abbott,16,2,0,0,0,0,0,40
721,Hennessey,16,1,0,0,0,0,0,40
747,Nuno,16,5,0,0,0,0,78,11
14,Ramsdale,17,1,0,0,0,2700,97,44
27,Archer,17,4,2,0,2,1421,57,48
188,Ugochukwu,17,3,1,1,2,1652,47,44
397,Fraser,17,3,0,0,0,303,7,48
451,Amo-Ameyaw,17,3,0,0,0,26,1,44
452,Aribo,17,3,3,0,3,2007,72,49
453,Armstrong,17,4,2,3,5,1246,45,51
454,Bazunu,17,1,0,0,0,0,0,43
455,Bednarek,17,2,2,0,2,2531,60,40
456,Bella-Kotchap,17,2,0,0,0,329,2,39
457,Bree,17,2,0,1,1,1070,23,39
458,Charles,17,3,0,0,0,0,0,45
459,Edozie,17,3,0,0,0,64,1,49
460,Edwards,17,2,0,0,0,12,1,39
461,Harwood-Bellis,17,2,1,0,1,2824,55,39
462,Kamaldeen,17,3,1,2,3,1394,53,50
463,Lallana,17,3,0,2,2,352,17,50
464,Larios,17,2,0,0,0,0,0,39
465,Lis,17,1,0,0,0,0,0,40
466,Lumley,17,1,0,0,0,270,8,40
467,Manning,17,2,0,2,2,1458,34,43
468,Mara,17,4,0,0,0,0,0,50
469,McCarthy,17,1,0,0,0,450,12,42
470,Onuachu,17,4,4,1,5,1038,51,49
471,Smallbone,17,3,1,0,1,679,26,50
472,Stephens,17,2,1,0,1,1389,31,40
473,Stewart,17,4,1,0,1,382,20,44
474,Sugawara,17,2,1,1,2,1548,43,42
475,Taylor,17,2,0,0,0,353,6,39
476,Walker-Peters,17,2,0,3,3,2918,54,42
477,Wood,17,2,0,0,0,771,14,39
515,Cornet,17,3,0,0,0,71,1,47
518,Downes,17,3,1,0,1,2149,48,47
584,Brereton Díaz,17,3,0,0,0,446,13,48
608,Dibling,17,3,2,2,4,1863,68,43
623,M.Fernandes,17,3,2,4,6,2911,95,50
693,O'Brien-Whitmarsh,17,3,0,0,0,0,0,45
718,Welington,17,2,0,0,0,478,14,40
719,Kayi Sanda,17,2,0,0,0,12,2,40
734,Grønbæk,17,3,0,0,0,141,6,49
748,Rusk,17,5,0,0,0,0,38,5
798,Jay Robinson,17,4,0,0,0,134,5,44
804,Moore,17,2,0,0,0,0,0,40
82,Solanke,18,4,9,5,14,2199,108,73
478,A.Phillips,18,2,0,0,0,0,0,40
479,Austin,18,1,0,0,0,90,1,40
480,Bentancur,18,3,2,0,2,1640,49,49
481,Bergvall,18,3,0,2,2,1200,44,44
482,Bissouma,18,3,2,0,2,1396,50,48
483,Bryan,18,3,0,0,0,0,0,50
484,Davies,18,2,0,0,0,1329,28,43
485,Devine,18,3,0,0,0,0,0,45
486,Dragusin,18,2,0,0,0,1250,24,43
487,E.Royal,18,2,0,0,0,0,0,45
488,Forster,18,1,0,0,0,630,19,43
489,Gray,18,3,0,0,0,1750,45,46
490,Højbjerg,18,3,0,0,0,0,0,50
491,Johnson,18,3,11,6,17,2171,137,62
492,Kulusevski,18,3,7,4,11,2386,117,62
493,Lo Celso,18,3,0,0,0,0,0,49
494,Maddison,18,3,9,8,17,1799,133,74
495,Pedro Porro,18,2,2,6,8,2606,98,52
496,Reguilón,18,2,0,0,0,194,2,41
497,Richarlison,18,4,4,1,5,497,35,68
498,Romero,18,2,1,1,2,1416,49,49
499,P.M.Sarr,18,3,3,2,5,1901,71,47
500,Scarlett,18,4,0,1,1,31,6,44
502,Solomon,18,3,0,0,0,0,0,54
503,Son,18,3,7,10,17,2106,129,97
504,Spence,18,2,1,2,3,1790,51,44
505,Udogie,18,2,0,1,1,1923,43,48
506,Van de Ven,18,2,0,2,2,1014,32,45
507,Veliz,18,4,0,0,0,0,0,50
508,Vicario,18,1,0,0,0,2160,66,48
509,Werner,18,3,0,3,3,504,34,62
510,Whiteman,18,1,0,0,0,0,0,39
609,Lankshear,18,4,0,0,0,10,3,45
610,Moore,18,3,0,2,2,359,19,45
612,Odobert,18,3,1,0,1,843,34,53
683,Olusesi,18,3,0,0,0,0,0,45
684,Hardy,18,2,0,0,0,0,0,40
689,Williams-Barnett,18,3,0,0,0,0,0,45
699,Dorrington,18,2,0,0,0,13,1,40
700,King,18,2,0,0,0,0,0,40
716,Kinsky,18,1,0,0,0,540,17,41
717,Yang,18,3,0,0,0,0,0,45
729,Ajayi,18,3,0,0,0,0,0,45
749,Postecoglou,18,5,0,0,0,0,58,11
760,Cassanova,18,2,0,0,0,0,0,40
767,Danso,18,2,0,0,0,842,16,44
768,Tel,18,3,2,2,4,908,42,58
123,Ferguson,19,4,1,0,1,385,28,55
388,Wan-Bissaka,19,2,2,6,8,3154,118,45
511,Álvarez,19,3,0,1,1,1769,40,50
512,Antonio,19,4,1,4,5,834,42,52
513,Areola,19,1,0,0,0,2259,69,42
514,Bowen,19,3,13,11,24,2974,193,79
516,Coufal,19,2,0,0,0,1056,27,41
517,Cresswell,19,2,0,0,0,818,36,39
519,Earthy,19,3,0,0,0,0,0,45
520,Emerson,19,2,2,1,3,2108,76,44
521,Fabianski,19,1,0,0,0,1160,39,39
522,Foderingham,19,1,0,0,0,0,0,42
523,Ings,19,4,1,3,4,270,32,48
524,Kilman,19,2,0,1,1,3348,82,43
525,Kudus,19,3,5,4,9,2589,106,62
526,L.Guilherme,19,3,0,0,0,139,12,46
527,L.Paquetá,19,3,4,1,5,2374,80,57
528,Mavropanos,19,2,0,0,0,2035,45,43
529,N.Aguerd,19,2,0,0,0,0,0,44
530,Souček,19,3,9,2,11,2563,126,48
531,Ward-Prowse,19,3,1,2,3,1433,51,61
532,Zouma,19,2,0,0,0,0,0,44
576,Irving,19,3,0,0,0,161,9,47
587,Summerville,19,3,1,1,2,776,33,55
588,G.Rodríguez,19,3,0,1,1,1147,36,48
589,Füllkrug,19,4,3,2,5,783,42,67
591,Todibo,19,2,0,0,0,1824,54,42
643,Casey,19,2,0,0,0,1,1,40
654,C.Soler,19,3,1,1,2,1394,47,50
677,Scarles,19,2,0,0,0,659,29,40
686,Mayers,19,2,0,0,0,0,0,40
701,Orford,19,3,0,0,0,47,2,45
750,Potter,19,5,0,0,0,0,84,5
204,Johnstone,20,1,0,0,0,630,12,41
533,Aït-Nouri,20,2,4,7,11,3112,125,51
534,B.Traore,20,3,0,0,0,1,1,48
535,Bellegarde,20,3,2,7,9,1666,90,49
536,Bentley,20,1,0,0,0,180,9,39
537,Chiquinho,20,3,0,0,0,6,1,45
538,Chirewa,20,3,0,0,0,0,0,45
539,Chiwome,20,4,0,0,0,0,0,44
540,Cundle,20,3,0,0,0,0,0,45
541,Cunha,20,4,15,7,22,2596,178,70
542,Dawson,20,2,0,1,1,969,17,42
543,Doherty,20,2,2,1,3,2105,75,43
544,Doyle,20,3,0,1,1,474,28,47
545,Fábio Silva,20,4,0,0,0,0,0,50
546,Fraser,20,4,0,0,0,0,0,45
547,Gonzalez,20,3,0,0,0,0,0,44
548,Guedes,20,3,2,4,6,979,62,53
549,H.Bueno,20,2,0,0,0,0,0,45
550,Hee Chan,20,3,2,1,3,646,37,61
551,Hodge,20,3,0,0,0,0,0,45
552,Hoever,20,2,0,0,0,0,0,40
553,J.Gomes,20,3,3,1,4,2975,87,49
554,José Sá,20,1,0,0,0,2610,93,44
555,Kalajdžić,20,4,0,0,0,0,0,48
556,King,20,1,0,0,0,1,1,39
557,Mario Jr.,20,3,1,3,4,1363,47,48
558,Mosquera,20,2,0,0,0,441,3,38
559,N.Semedo,20,2,0,4,4,2889,84,45
561,Pedro Lima,20,2,0,0,0,69,2,39
562,Podence,20,3,0,0,0,46,2,55
563,R.Gomes,20,3,2,0,2,794,42,51
564,S.Bueno,20,2,0,0,0,1678,52,43
565,Sarabia,20,3,3,2,5,800,50,50
566,Strand Larsen,20,4,14,4,18,2587,145,52
567,Toti,20,2,0,1,1,2613,79,43
637,Meupiyou,20,2,0,0,0,0,0,39
642,André,20,3,0,0,0,2472,61,50
655,Forbs,20,3,0,0,0,236,9,54
664,Pond,20,2,0,0,0,1,1,39
682,Edozie,20,3,0,0,0,0,0,45
711,Okoduwa,20,2,0,0,0,0,0,40
720,Agbadou,20,2,1,0,1,1410,45,40
751,Pereira,20,5,0,0,0,0,111,8
769,Djiga,20,2,0,0,0,65,4,45
770,Munetsi,20,3,2,2,4,1077,50,50
784,Mané,20,4,0,0,0,1,1,45
